järjestys,id,slides,etape,placename fi,placename en,time en,narrator,receiver,narratortxt fi,narratortxt en,fulltext fi,konekäännös,fulltext en,txtlength,source,page,fileid,imagefilename,tech-temp,folder,technique,imagecreator en,kuvan nimi tai kuvateksti fi,image title or caption en,imageyear,collection en,imgorigurl,photographer en,license
1,1,,messina,Messinan salmi,Strait of Messina,18 May 1909,kirsti,,Kirsti kertoo kirjassaan,,"Laivassamme, joka nyt suuntasi kulkunsa Afrikan rantoja kohden, oli sata I luokan matkustajaa, enimmäkseen englantilaisia ja saksalaisia, muutama amerikkalainenkin joukossa. Laivassa oli 150 matruusia ja lisäksi 10 upseeria, jotka olivat matkalla siirtomaihin.",,"In our ship, which is now headed off towards the beaches of Africa, there were a hundred first class passengers, mostly British and German, as well as a few americans. The ship had 150 apprentice seamen and an additional 10 officers, who were on their way to the colonies.",260,tropiikki,292,eph01,woermannlabel.png 000,repro,Kuvat,reproductions,,"Tarra matkalaukusta, matkustajaluettelo",,,,,Susanna Ånäs,CC0
2,2,,messina,Messinan salmi,Strait of Messina,18 May 1909,mary,,Maryn kirjoittaa samoina päivinä,Mary writes on the same days,"Isä maalasi Etnan tulivuoren ja valokuvasi Sisilian maanjäristyksen jälkeen autioituneita kaupunkeja. »Stromboli nousee kauniina ja suurena usvaisesta merestä ja tupruttelee höyryä sieltä täältä. Kalabriassa on valtavia laavavirtoja, jotka ovat pysähtyneet maanjäristyksen jälkeen, vuoren huiput ovat lumen peitossa», kirjoittaa äiti samoina рäivinä.",,"Stromboli rises beautiful and grand from the misty sea and puffs steam here and there. In Calabria there are huge lava flows, which have solidified after the earthquake, the mountain peaks are covered with snow.",,tropiikki,292,web01,Etna.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,Etna,Etna,1909,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57656,,
3,3,,suez,Suezin kanava,Suez Canal,22 May 1909,kirsti,,Kirsti kirjassaan,,"Suezin kanavamatka oli yksitoikkoinen. Laiva kulki hyvin hitaasti ja imi rannat paljaiksi; erämaata ja hiekkaa. Joskus näki kamelikaravaanin kulkevan hiekkadyynien lomassa. Ismailia muutamine palmuineen oli ainoa keidas koko matkan varrella. Kuumuus kävi Punaisella merellä aivan sietämättömäksi. Päivälliselle oli pukeuduttava iltapukuun, ja isä hikoili ja kiroili yrittäessään saada frakkipukua ja sen ajan hirveän korkeita ja kovia kauluksia ylleen. Ne olivatkin ryppyisiä rättejä, ennen kuin ehti ylös kannelle.",,"The Suez Canal trip was boring. The ship went very slowly and sucked the beaches bare of sand; desert and sand. Sometimes camels could be seen passing between the sand dunes. Ismailia with it's few palm trees was the only oasis of the whole journey. In the Red Sea the heat became quite unbearable. Evening dresses were worn for the dinner, and father sweated and cursed trying to get on his tailcoat and the awfully high and hard collars of the time. They were all wrinkled rags before making it up on the deck.",515,tropiikki,293,web02,suez.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,,Banks of the Suez Canal,1909,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57654,,
4,4,,suez,Suezin kanava,Suez Canal,22 May 1909,akseli,,Akseli kertoo kirjassaan,Akseli recounts in his book,"Monelta merilaivurilta olen kyselyt Suezin seuduista, ja vastaus on aina ollut: Hiekkaa, vain hiekkaa, ei mitään muuta.
Nyt näin itse sen hiekan, mutta minun silmissäni se heijasteli prisman kaikki värit ja muodosti suuruuden ennen tuntemattoman – kauniin poimun äärettömyyden vaipassa.",,"I have asked many seafarers about the Suez surroundings and the answer has always been: Sand, sand only, nothing else.
Now I saw the sand myself, but in my eyes it reflected all the colors of the prism and formed a previously unknown magnitude – a beautiful warp in the blanket of immensity.",286,afrikka,6,kg06,,oil on canvas,,"oil on canvas, mounted on cardboard",Akseli Gallen-Kallela,Suezin kanavan rantaa,Suez Canal,1909,Finnish National Gallery,http://kokoelmat.fng.fi/app?si=http%3A%2F%2Fkansallisgalleria.fi%2FTeos_CF3CF052-ABE9-45A9-9ACC-7CAEF0F8F8D3&lang=fi,"Finnish National Gallery / Aaltonen, Hannu",
5,5,,punainen meri,Punainen meri,The Red Sea,May 1909,mary,,Maryn päiväkirja kertoo matkasta,Mary's diary tells about the journey,"Punainen meri, sinä ihanuus, jota en koskaan unohda! Matkustakaa, matkustakaa sinne kaikki, jotka tahdotte nauttia, sillä sitä ei voi kuvailla, ihana sininen vesi, erämaan hiekka, kamelit, kangastukset, keitaat, ilma, kalliot ja auringonlaskut. Koko Punaisen meren matka oli pelkästään hurmaava, kaikki mitä olimme lukeneet historiasta muistui mieleen, kun ohitimme nuo paikat.",,"Red Sea, you beauty I will never forget! Travel, travel there all who desire to enjoy, because it can not be described, wonderful blue water, desert sands, camels, mirages, oases, the air, mountains and sunsets. The entire Red Sea journey was merely charming, everything we had read about history came to mind when we passed those places.",377,tropiikki,294,D-GKM-7371,D-GKM-7371.tif,oil on canvas,Käyttökuvat,oil on canvas,Akseli Gallen-Kallela,"Punainen meri, Suez","Red Sea, Suez",1909,Gallen-Kallela Museum,,Jukka Paavola,
6,6,,punainen meri,Punainen meri,The Red Sea,May 1909,kirsti,,Kirsti kertoo kirjassaan,,"Ihanaa oli katsella melkein peilityyntä merta, jossa haikalat myllersivät aivan laivan vierellä seuraten sitä makupalojen toivossa.",Wonderful it was to watch almost mirror calm sea where the sharks myllersivät right next to the ship following it in the hope of treats.,,131,tropiikki,293,gkm135,gkm135.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Haikaloja Intian valtameressä,Sharks in the Indian Ocean,1909,Private collection,,Douglas Sivén,
7,7,,punainen meri,Kap Guardafui,Cape Guardafui,29 May 1909,kirsti,,Kirsti kertoo kirjassaan,,"Sitten alkoi koko matkan ainoa myrsky, jota kesti viisi vuorokautta. Etenkin Kap Guardafuin kohdalla se oli hirveä, joten äiti ja minä emme nähneet siitä matkan osasta mitään. Kuitenkin saimme ihailla myrskyn tauottua Kap Guardafuin leijonanpään muotoista kallioprofiilia.","Then began the only storm throughout the journey, which lasted for five days. Especially in the case of Cape Guardafuin it was awful, so Mom and I did not see that part of the trip nothing. However, we enjoy the storm Forged Cape Guardafuin lion's head rock-shaped profile.",,272,tropiikki,293,gkm130,gkm130.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,"Intian valtameri, Cap Guardafui -niemen kohdalla",The Indian Ocean at Cape Guardafui,1909,Private collection,,Douglas Sivén,
8,8,,mombasa,Kilindini,Kilindini Harbour,June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Saavuimme Mombasaan oltuamme merellä 28 vuorokautta. Valtamerilaivan hytin pyöreästä ikkunasta näin ensimmäisen kaistaleen Afrikan maata. Se oli kuin merestä noussut utukuva, joka harmaaseen aamu-usvaan kietoutuneena oli melkein epätodellinen. Siniharmaa maakaistale ja kaarevia palmunrunkoja huojuvine latvatupsuineen. Oliko tämä totta, olimmeko tosiaankin matkamme määränpäässä? Syvälle silmieni kalvoon on etsautunut tämä kuva pyöreissä kehyksissään. Tunnen vielä Äitini hiusten tuoksun, kun hän vierelläni seisten kampasi pitkää tukkaansa vaaleanvioletissa kampausnutussaan.
Kiiruhdin kannelle ja näin laivan jo lipuvan hiljalleen ja kääntävän keulansa kohti maata, mutta lähelle emme päässeet, sillä rannikko oli matalaa hiekkarantaa. Miehet soutivat meidät veneissä pitkälle mereen ulottuvalle laiturille. Suuret matka-arkkumme, joita oli 17, soudettiin suoraan hiekkarannalle, jonne veneet ajautuivat maininkien työntäminä. Jättiläismäisen suuret kantajat, joilla oli vain lannevaate yllään, kiepsauttivat suuret arkut kevyesti selkäänsä ja juoksivat ylös hiekkatörmää pienelle radalle.","We arrived in Mombasa after we had been at sea for 28 days. Ocean Ship cabin window I saw the first round of the strip African countries. It was like a rose from the sea utukuva that gray morning mist wrapped was almost unreal. Blue-gray strip of land and curved palm trunks swaying latvatupsuineen. Were this true, we were really on our trip at the destination? Deep in my eyes the film is etsautunut this picture in circular frame. I know my mother still smell of hair, standing next to me when he combed his hair with a light purple long kampausnutussaan.
I was rushed to the deck and saw the ship slowly glide into the already and to turn the bow towards the ground, but we could not get close to, the coast was a shallow sandy beach. Men in boats rowed us to the wharf extending far into the sea. Large travel arkkumme, which was 17, rowed directly on the sandy beach, where boats drifted swells pushed. A giant-sized applicants, who had only a loincloth wearing, kiepsauttivat large trunks lightly on his back and ran up the sand collides with a small track.",,1093,muistelmat,48,eph02,tarvitaan tymäkämpi kuva 000,repro,Kuvat,print,,,,,,,,
9,9,,mombasa,Mombasa,Mombasa,June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Tämä oli Kilindilin satama, josta lähdimme pienillä resinantapaisilla ajoneuvoilla Mombasaa kohti. Kahden istuttavat penkit olivat vastakkain ja tätä pientä vaunua työnsi kaksi miestä huimaavalla vauhdilla. Aurinko oli jo noussut aamu-usvasta ja helotti kuumana, ennen kuin pääsimme matkaan. Tämä oli meistä lapsista valtavan hauskaa: aivan kuin olisimme tulleet satumaahan, jossa kaikki oli leikkiä. Miesten hampaat välkkyivät ja silmät loistivat ystävällisyyttä, kun he näkivät riemumme, ja yltyivät tekemään parastaan. Pian olimmekin Mombasassa, hohtavan valkoisessa kaupungissa.
Tuskin saatoimme pitää silmiämme edes raollaan, niin häikäisevä oli tämä kaupunki. Kaikki talot olivat valkoiseksi kalkitut, suahelit kulkivat vitivalkoisissa kauhtanoissaan ja hiekkakin kaduilla oli valkoista. Olimme kuukauden lepuuttaneet silmiämme meren sinessä ja nyt tuntui, että oli mahdotonta kestää tätä valkeutta, jonka yllä paistoi polttava aurinko.","This was the port Kilindilin, which we left in small vehicles resinantapaisilla towards Mombasa. Two-seater benches were facing each other, and this little wagon pushed the two men dizzying pace. The sun had already risen morning mist and shone hot, before we got to go. This was a huge fun of us children: as if we had entered a fairy tale land where all was to play. Men's teeth sparkled and shone the eyes of kindness, when they saw riemumme, and got excited to do his best. Soon we were in Mombasa, the white gleaming city.
We could hardly keep our eyes even slightly ajar, so dazzling was this city. All the houses were white-washed, suahelit went pure white kauhtanoissaan and hiekkakin streets were white. We were in the month lepuuttaneet a blind eye to the sea beckon, and now felt that it was impossible to take this light that shone above the burning sun.",,942,muistelmat,48,eph03,mombasa.png,repro,Kuvat,postcard,,,,,,,Salla Tiainen,
10,10,,uganda,Uganda Railway,Uganda Railway,June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Eräs laivatuttavamme saattoi meidät asemalle ja antoi matkalukemiseksi suahelin kieliopin.
Kapearaiteinen juna Mombasasta kulki ensin korkeiden palmumetsien ja rämeiden halki. Siellä täällä näkyi kyliä ja pikkupojat juoksivat hitaasti kulkevan junan vierellä ottaen kiinni makeisia, joita heille junasta heitettiin. Vähitellen alkoi maasto muuttua ja tulimme ylätasangolle, jolla ei kasvanut ainoatakaan puuta, vain muutama akaasia näkyi siellä täällä. Mutta eläimiä vilisi ympärillämme sitä enemmän, sillä juna kulki suoja-alueen halki, jossa ei ole lupa ampua eläimiä; ne eivät älynneet pelätä ollenkaan, vaan veturin ulkokyljessä istuva mies yritti huitomalla estää strutseja, gaselleja ja seeproja jäämästä junan alle.","One laivatuttavamme brought us to the station and gave matkalukemiseksi suahelin grammar.
The narrow-gauge railway from Mombasa first walked tall palm forests and swamps across. Here and there could be seen villages and little boys ran alongside the slowly moving train, taking catch sweets that are thrown to them from the train. Gradually the terrain began to change and we came plateau, which has grown to a single tree, acacia, only a few could be seen here and there. But was full of animals around us the more, as the train was passing through the protected area, which is not lawful to shoot the animals; they do not have to worry about the intellect at all, but sitting outside on the side of the locomotive man tried to prevent slashing ostriches, gazelles and zebras from being hit by a train.",,722,tropiikki,296,D-GKM-7372,D-GKM-7372_2.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Kilima-ndjaro,"Mount Kilima-Ndjaro, 22 VI.1909",1909,Gallen-Kallela Museum,,Jukka Paavola,
